Date,NAV
2022-01-31,10000000.0
2022-02-01,9990318.5
2022-02-02,10008120.9
2022-02-03,10008009.3
2022-02-04,9993252.0
2022-02-07,10009631.4
2022-02-08,10002994.5
2022-02-09,10006679.3
2022-02-10,10074393.0
2022-02-11,10075919.3
2022-02-14,10141392.700000001
2022-02-15,10136848.3
2022-02-16,10130550.5
2022-02-17,10144131.0
2022-02-18,10167563.3
2022-02-21,10203553.800000003
2022-02-22,10222742.800000003
2022-02-23,10199462.1
2022-02-24,10136803.4
2022-02-25,10148334.500000002
2022-02-28,10181725.1
2022-03-01,10179075.700000001
2022-03-02,10124068.100000001
2022-03-03,10035928.3
2022-03-04,10053045.9
2022-03-07,10067780.3
2022-03-08,10021483.0
2022-03-09,10034367.900000002
2022-03-10,10005304.0
2022-03-11,9997934.700000001
2022-03-14,10027136.5
2022-03-15,10058359.100000001
2022-03-16,10104719.100000001
2022-03-17,10062199.900000002
2022-03-18,10092585.6
2022-03-21,10116471.4
2022-03-22,10156571.7
2022-03-23,10234540.1
2022-03-24,10288716.4
2022-03-25,10323223.700000001
2022-03-28,10289056.8
2022-03-29,10341877.6
2022-03-30,10276666.399999999
2022-03-31,10308597.9
2022-04-01,10335344.9
2022-04-04,10400670.4
2022-04-05,10465000.9
2022-04-06,10404507.5
2022-04-07,10369359.3
2022-04-08,10301978.6
2022-04-11,10320027.999999998
2022-04-12,10316569.100000001
2022-04-13,10276000.200000001
2022-04-14,10320591.9
2022-04-15,10352196.300000003
2022-04-18,10343971.3
2022-04-19,10406977.3
2022-04-20,10412372.1
2022-04-21,10410765.399999999
2022-04-22,10397222.600000001
2022-04-25,10472042.600000001
2022-04-26,10475457.100000001
2022-04-27,10402339.7
2022-04-28,10409722.8
2022-04-29,10466100.2
2022-05-02,10463809.099999998
2022-05-03,10389121.2
2022-05-04,10493924.100000001
2022-05-05,10513665.9
2022-05-06,10538936.400000002
2022-05-09,10468975.3
2022-05-10,10516364.6
2022-05-11,10585208.700000001
2022-05-12,10603530.0
2022-05-13,10569611.4
2022-05-16,10581304.999999998
2022-05-17,10555185.799999999
2022-05-18,10545598.6
2022-05-19,10524394.1
2022-05-20,10570796.4
2022-05-23,10536111.999999998
2022-05-24,10600589.9
2022-05-25,10559894.4
2022-05-26,10558949.3
2022-05-27,10562406.9
2022-05-30,10539607.8
2022-05-31,10503625.700000001
2022-06-01,10494392.700000001
2022-06-02,10659299.1
2022-06-03,10689947.000000002
2022-06-06,10744678.0
2022-06-07,10723421.6
2022-06-08,10672084.100000001
2022-06-09,10713400.000000002
2022-06-10,10656905.5
2022-06-13,10667339.200000001
2022-06-14,10719676.6
2022-06-15,10745321.8
2022-06-16,10837577.6
2022-06-17,10792621.3
2022-06-20,10825476.000000002
2022-06-21,10821789.299999999
2022-06-22,10912443.6
2022-06-23,10996029.3
2022-06-24,10992058.100000001
2022-06-27,10966045.4
2022-06-28,10888669.5
2022-06-29,10885583.0
2022-06-30,10998690.9
2022-07-01,11102487.2
2022-07-04,11059759.4
2022-07-05,11185346.1
2022-07-06,11174461.1
2022-07-07,11260910.900000002
2022-07-08,11254815.700000001
2022-07-11,11351679.8
2022-07-12,11293722.100000001
2022-07-13,11371072.100000001
2022-07-14,11336667.500000002
2022-07-15,11386517.100000001
2022-07-18,11465128.4
2022-07-19,11530170.600000001
2022-07-20,11532214.200000001
2022-07-21,11559459.700000001
2022-07-22,11499492.5
2022-07-25,11420532.5
2022-07-26,11318522.9
2022-07-27,11361006.100000001
2022-07-28,11273762.100000001
2022-07-29,11325911.100000001
2022-08-01,11336829.100000001
2022-08-02,11344587.0
2022-08-03,11320341.600000001
2022-08-04,11320972.799999997
2022-08-05,11402479.100000001
2022-08-08,11438389.3
2022-08-09,11446299.399999999
2022-08-10,11444092.4
2022-08-11,11521578.7
2022-08-12,11534911.100000001
2022-08-15,11553800.4
2022-08-16,11487284.6
2022-08-17,11413952.4
2022-08-18,11462029.600000001
2022-08-19,11498218.799999997
2022-08-22,11533019.6
2022-08-23,11474592.3
2022-08-24,11561215.8
2022-08-25,11575818.1
2022-08-26,11560503.000000002
2022-08-29,11534247.0
2022-08-30,11565399.799999999
2022-08-31,11593509.5
2022-09-01,11552645.100000001
2022-09-02,11586795.4
2022-09-05,11507340.700000001
2022-09-06,11587951.2
2022-09-07,11586758.2
2022-09-08,11650581.2
2022-09-09,11593051.9
2022-09-12,11631587.899999999
2022-09-13,11621615.4
2022-09-14,11609397.899999999
2022-09-15,11617107.3
2022-09-16,11677950.999999998
2022-09-19,11683915.799999999
2022-09-20,11673720.1
2022-09-21,11699887.299999999
2022-09-22,11621089.7
2022-09-23,11581830.899999999
2022-09-26,11641735.799999999
2022-09-27,11791161.7
2022-09-28,11866438.799999999
2022-09-29,11844922.099999998
2022-09-30,11769850.2
2022-10-03,11867264.2
2022-10-04,11919129.399999999
2022-10-05,11920753.7
2022-10-06,12047071.2
2022-10-07,12046773.0
2022-10-10,12100177.3
2022-10-11,12164871.8
2022-10-12,12155480.399999999
2022-10-13,12155730.099999998
2022-10-14,12223509.999999996
2022-10-17,12223061.7
2022-10-18,12316874.5
2022-10-19,12240883.900000002
2022-10-20,12266571.8
2022-10-21,12220597.899999999
2022-10-24,12300713.7
2022-10-25,12280612.0
2022-10-26,12173900.5
2022-10-27,12324561.0
2022-10-28,12301964.200000003
2022-10-31,12341608.8
2022-11-01,12396600.9
2022-11-02,12334268.700000003
2022-11-03,12350286.099999998
2022-11-04,12466599.5
2022-11-07,12529522.2
2022-11-08,12613993.000000002
2022-11-09,12705363.100000001
2022-11-10,12821874.2
2022-11-11,12806585.5
2022-11-14,12797554.700000001
2022-11-15,12866230.100000001
2022-11-16,12817576.6
2022-11-17,12915236.3
2022-11-18,12988142.799999999
2022-11-21,12946623.1
2022-11-22,13022192.6
2022-11-23,13110553.3
2022-11-24,13074408.400000002
2022-11-25,13108723.9
2022-11-28,13164581.8
2022-11-29,13228012.6
2022-11-30,13197896.900000002
2022-12-01,13148390.8
2022-12-02,13191027.0
2022-12-05,13249822.3
2022-12-06,13225258.3
2022-12-07,13272524.899999999
2022-12-08,13336670.3
2022-12-09,13419357.6
2022-12-12,13506407.2
2022-12-13,13496148.700000001
2022-12-14,13536974.499999998
2022-12-15,13567351.200000001
2022-12-16,13553302.599999998
2022-12-19,13616407.899999999
2022-12-20,13587928.200000001
2022-12-21,13558811.8
2022-12-22,13546687.9
2022-12-23,13467088.799999999
2022-12-26,13525780.3
2022-12-27,13519874.2
2022-12-28,13430570.6
2022-12-29,13492735.600000001
2022-12-30,13605786.700000001
2023-01-02,13534469.799999999
2023-01-03,13605612.1
2023-01-04,13562316.4
2023-01-05,13612404.100000001
2023-01-06,13625442.799999999
2023-01-09,13677888.7
2023-01-10,13631417.299999999
2023-01-11,13704437.500000002
2023-01-12,13790808.9
2023-01-13,13779367.100000003
2023-01-16,13754791.300000003
2023-01-17,13752388.700000001
2023-01-18,13772432.9
2023-01-19,13745145.499999998
2023-01-20,13815783.5
2023-01-23,13748396.8
