ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,ret,days_held,reason
SYNTH1097.T,2022-02-02,2022-02-14,2851.4,2742.6,350,-38080.000000000065,-0.03815669495686336,12,time_stop
SYNTH1002.T,2022-02-04,2022-02-16,2529.3,2473.2,395,-22159.500000000146,-0.022180049816154845,12,time_stop
SYNTH1009.T,2022-02-04,2022-02-16,2707.9,2687.6,369,-7490.700000000067,-0.007496584068835688,12,time_stop
SYNTH1050.T,2022-02-16,2022-02-28,1651.5,1590.5,613,-37393.0,-0.03693611867998792,12,time_stop
SYNTH1045.T,2022-02-16,2022-02-28,4771.2,4623.0,199,-29491.799999999963,-0.031061368209255535,12,time_stop
SYNTH1028.T,2022-02-16,2022-03-02,625.0,618.9,1485,-9058.500000000035,-0.009759999999999991,14,time_stop
SYNTH1002.T,2022-02-18,2022-03-02,2532.1,2516.8,401,-6135.29999999989,-0.006042415386438016,12,time_stop
SYNTH1011.T,2022-02-04,2022-03-03,3915.3,3865.1,246,-12349.200000000066,-0.012821495160013296,27,time_stop
SYNTH1005.T,2022-02-11,2022-03-10,1306.7,1304.2,771,-1927.5,-0.0019132164995790957,27,time_stop
SYNTH1076.T,2022-02-17,2022-03-14,2105.9,2097.6,481,-3992.3000000000875,-0.003941307754404377,25,time_stop
SYNTH1073.T,2022-03-01,2022-03-14,1740.1,1698.6,584,-24236.0,-0.0238492040687317,13,time_stop
SYNTH1017.T,2022-03-02,2022-03-14,1705.1,1679.2,593,-15358.699999999919,-0.015189724942818561,12,time_stop
SYNTH1033.T,2022-03-07,2022-03-21,766.1,752.0,1169,-16482.900000000027,-0.018404907975460127,14,time_stop
SYNTH1027.T,2022-03-11,2022-03-28,2654.2,2656.3,376,789.6000000001368,0.000791198854645625,17,time_stop
SYNTH1096.T,2022-03-15,2022-03-28,2811.1,2804.9,329,-2039.7999999999402,-0.0022055423143964026,13,time_stop
SYNTH1076.T,2022-03-15,2022-03-29,2170.8,2162.6,463,-3796.6000000001263,-0.0037774092500462153,14,time_stop
SYNTH1011.T,2022-03-30,2022-04-11,3964.6,3937.1,254,-6985.0,-0.006936387025172741,12,time_stop
SYNTH1052.T,2022-02-11,2022-04-20,617.9,643.3,1630,41401.99999999996,0.04110697523871165,68,trail_s1
SYNTH1018.T,2022-04-08,2022-04-20,3386.3,3358.1,274,-7726.800000000075,-0.008327673271712577,12,time_stop
SYNTH1062.T,2022-04-11,2022-04-25,1835.3,1716.7,562,-66653.19999999995,-0.06462158775132121,14,time_stop
SYNTH1045.T,2022-03-14,2022-05-03,4842.7,4863.9,193,4091.599999999965,0.004377723170958303,50,time_stop
SYNTH1079.T,2022-02-22,2022-05-05,3932.3,3898.6,222,-7481.400000000061,-0.00857004806347439,72,time_stop
SYNTH1031.T,2022-04-25,2022-05-09,4352.2,4010.3,212,-72482.79999999993,-0.07855797068149428,14,time_stop
SYNTH1052.T,2022-05-03,2022-05-16,663.9,649.3,1564,-22834.400000000034,-0.021991263744539857,13,time_stop
SYNTH1068.T,2022-05-10,2022-05-24,2220.9,2226.0,473,2412.299999999957,0.002296366337971145,14,time_stop
SYNTH1073.T,2022-04-26,2022-05-26,1702.0,1707.6,615,3443.999999999944,0.003290246768507643,30,time_stop
SYNTH1062.T,2022-05-20,2022-05-31,1937.3,1780.4,545,-85510.49999999993,-0.08098900531667774,11,hard_stop
SYNTH1011.T,2022-05-24,2022-06-06,3842.7,3805.7,264,-9768.0,-0.009628646524579065,13,time_stop
SYNTH1068.T,2022-05-31,2022-06-13,2241.3,2236.1,468,-2433.6000000001277,-0.0023200820952127277,13,time_stop
SYNTH1081.T,2022-06-13,2022-06-27,4411.2,4402.6,234,-2012.3999999998723,-0.0019495828799418469,14,time_stop
SYNTH1027.T,2022-06-28,2022-07-11,2514.5,2463.5,433,-22083.0,-0.020282362298667755,13,time_stop
SYNTH1054.T,2022-03-21,2022-07-12,2048.3,2060.8,493,6162.5,0.00610262168627651,113,trail_s1
SYNTH1073.T,2022-07-11,2022-07-25,1772.0,1739.6,640,-20736.00000000006,-0.01828442437923261,14,time_stop
SYNTH1050.T,2022-07-14,2022-07-26,1822.9,1799.9,621,-14283.0,-0.012617258214932203,12,time_stop
SYNTH1068.T,2022-07-27,2022-08-08,2409.5,2420.3,471,5086.800000000086,0.004482257729819583,12,time_stop
SYNTH1027.T,2022-07-28,2022-08-09,2589.5,2501.6,435,-38236.50000000004,-0.0339447769839738,12,time_stop
SYNTH1039.T,2022-08-08,2022-08-22,3879.2,3752.7,294,-37191.0,-0.03260981645700145,14,time_stop
SYNTH1041.T,2022-08-09,2022-08-30,5043.6,5061.5,226,4045.399999999918,0.0035490522642556144,21,time_stop
SYNTH1052.T,2022-08-24,2022-09-05,634.2,633.5,1822,-1275.4000000000829,-0.0011037527593820151,12,time_stop
SYNTH1062.T,2022-08-30,2022-09-12,1955.5,1916.7,591,-22930.799999999974,-0.019841472769112745,13,time_stop
SYNTH1033.T,2022-06-06,2022-09-14,850.8,850.4,1246,-498.39999999997167,-0.0004701457451810054,100,time_stop
SYNTH1052.T,2022-09-05,2022-09-19,633.5,626.6,1816,-12530.399999999958,-0.010891870560378769,14,time_stop
SYNTH1073.T,2022-09-14,2022-09-26,1844.5,1841.0,629,-2201.5,-0.00189753320683117,12,time_stop
SYNTH1068.T,2022-09-14,2022-10-03,2351.3,2342.7,493,-4239.800000000179,-0.0036575511419216777,19,time_stop
SYNTH1054.T,2022-09-19,2022-10-04,2105.5,2101.4,554,-2271.3999999999496,-0.0019472809308952455,15,time_stop
SYNTH1056.T,2022-09-27,2022-10-26,2259.1,2283.9,521,12920.800000000094,0.010977823026869116,29,trail_s1
SYNTH1028.T,2022-10-10,2022-11-03,817.0,812.9,1329,-5448.900000000031,-0.005018359853121157,24,time_stop
SYNTH1018.T,2022-10-26,2022-11-07,3269.7,3132.8,322,-44081.79999999989,-0.04186928464385098,12,time_stop
SYNTH1091.T,2022-05-27,2022-12-28,5217.6,5574.6,175,62475.0,0.06842226310947552,215,trail_s2
SYNTH1054.T,2022-10-05,2023-03-09,2131.0,2357.2,498,112647.5999999999,0.10614734866259967,155,trail_s2
SYNTH1009.T,2022-03-04,2023-03-22,2787.3,4004.0,360,438011.99999999994,0.4365156244394215,383,trail_s3
SYNTH1062.T,2023-03-09,2023-04-03,2086.7,2043.0,672,-29366.399999999878,-0.020942157473522682,25,time_stop
SYNTH1097.T,2023-03-22,2023-04-03,3184.3,3127.3,390,-22230.0,-0.017900323461985335,12,time_stop
SYNTH1081.T,2022-11-07,2023-04-14,4062.2,4250.2,308,57904.0,0.046280340702082645,158,trail_s1
SYNTH1002.T,2023-04-03,2023-04-17,2280.6,2174.7,530,-56127.00000000005,-0.04643514864509346,14,time_stop
SYNTH1011.T,2023-04-04,2023-04-24,3446.6,3413.8,403,-13218.39999999989,-0.009516625079788676,20,time_stop
SYNTH1030.T,2023-04-18,2023-05-01,4931.6,4873.1,279,-16321.5,-0.011862275934787947,13,time_stop
SYNTH1018.T,2023-04-25,2023-05-08,3548.4,3499.2,336,-16531.20000000009,-0.013865404125803282,13,time_stop
SYNTH1054.T,2023-04-18,2023-05-19,2730.7,2724.0,499,-3343.2999999999092,-0.0024535833302815613,31,time_stop
SYNTH1061.T,2023-05-22,2023-06-05,878.8,869.6,1481,-13625.199999999899,-0.010468821119708593,14,time_stop
SYNTH1027.T,2023-05-01,2023-06-15,3239.5,3241.5,420,840.0,0.0006173792251891186,45,time_stop
SYNTH1050.T,2023-06-07,2023-06-22,2099.9,2109.8,665,6583.50000000006,0.004714510214772094,15,time_stop
SYNTH1031.T,2023-05-10,2023-07-04,3579.1,3537.1,336,-14112.0,-0.011734793663211396,55,time_stop
SYNTH1050.T,2023-06-23,2023-07-06,2117.0,2119.7,671,1811.699999999878,0.0012753897024089245,13,time_stop
SYNTH1045.T,2023-07-07,2023-07-19,4649.2,4465.8,310,-56853.99999999988,-0.03944764690699465,12,time_stop
SYNTH1027.T,2023-07-19,2023-07-31,3397.1,3411.6,422,6119.0,0.0042683465308646085,12,time_stop
SYNTH1017.T,2023-08-02,2023-08-15,1398.7,1396.7,1041,-2082.0,-0.0014298991921070092,13,time_stop
SYNTH1028.T,2023-06-16,2023-09-01,883.9,928.7,1491,66796.8000000001,0.05068446656861636,77,trail_s2
SYNTH1027.T,2023-08-16,2023-09-05,3423.3,3418.3,429,-2145.0,-0.0014605789735050445,20,time_stop
SYNTH1073.T,2023-09-05,2023-11-15,1639.5,1647.2,869,6691.300000000039,0.004696553827386429,71,time_stop
SYNTH1045.T,2023-11-16,2023-11-28,5099.8,4996.5,295,-30473.500000000055,-0.020255696301815784,12,time_stop
SYNTH1096.T,2022-04-21,2023-12-28,2844.9,6405.5,315,1121589.0,1.251572990263278,616,trail_s3
SYNTH1002.T,2023-12-28,2024-01-09,2263.9,2238.7,693,-17463.600000000188,-0.011131233711736521,12,time_stop
SYNTH1052.T,2023-11-28,2024-01-17,486.1,486.8,3251,2275.699999999963,0.0014400329150381364,50,time_stop
SYNTH1081.T,2024-01-09,2024-01-18,4239.8,3869.9,338,-125026.20000000003,-0.08724468135289398,9,hard_stop
SYNTH1068.T,2023-09-01,2024-02-23,2881.4,2958.7,496,38340.799999999865,0.02682723675990828,175,trail_s1
SYNTH1050.T,2024-01-17,2024-03-06,2382.3,2394.0,657,7686.8999999998805,0.004911220249338877,49,time_stop
SYNTH1062.T,2024-02-26,2024-03-11,1404.1,1332.5,1179,-84416.39999999989,-0.050993518980129604,14,time_stop
SYNTH1071.T,2024-03-12,2024-03-25,5702.9,5612.4,255,-23077.5,-0.01586911922004597,13,time_stop
SYNTH1076.T,2023-07-04,2024-06-06,1970.5,2316.5,723,250158.0,0.17558995178888614,338,trail_s3
SYNTH1056.T,2024-06-06,2024-06-18,1840.7,1774.9,907,-59680.59999999996,-0.035747270060303094,12,time_stop
SYNTH1004.T,2022-03-29,2024-07-05,1875.5,3757.6,551,1037037.1,1.0035190615835776,829,trail_s3
SYNTH1030.T,2024-06-25,2024-07-08,3811.7,3670.2,441,-62401.5,-0.03712254374688462,13,time_stop
SYNTH1096.T,2024-07-05,2024-07-17,7671.7,7502.8,190,-32090.99999999993,-0.022015980812596925,12,time_stop
SYNTH1099.T,2022-01-31,2024-07-18,3459.0,7056.7,289,1039735.2999999999,1.0400982943047121,899,trail_s3
SYNTH1027.T,2024-07-08,2024-07-22,5476.2,5468.4,307,-2394.600000000056,-0.0014243453489646285,14,time_stop
SYNTH1068.T,2024-07-18,2024-07-30,3403.5,3384.1,491,-9525.400000000045,-0.005700014690759536,12,time_stop
SYNTH1002.T,2024-07-18,2024-08-02,2506.7,2461.7,600,-27000.0,-0.017951888937647098,15,time_stop
SYNTH1054.T,2024-07-22,2024-08-05,2697.3,2628.2,575,-39732.50000000021,-0.025618210803396102,14,time_stop
SYNTH1028.T,2024-07-30,2024-08-12,1618.9,1535.5,1002,-83566.80000000009,-0.0515164617950461,13,time_stop
SYNTH1005.T,2024-08-02,2024-08-14,1419.2,1418.3,1186,-1067.4000000001079,-0.0006341600901916822,12,time_stop
SYNTH1009.T,2024-01-18,2024-08-23,6203.4,7498.5,252,326365.20000000007,0.2087726085694943,218,trail_s3
SYNTH1011.T,2024-08-12,2024-08-26,5057.5,4868.4,334,-63159.400000000125,-0.03739001482946125,14,time_stop
SYNTH1033.T,2024-08-15,2024-08-27,718.6,719.1,2215,1107.5,0.0006957973838017661,12,time_stop
SYNTH1068.T,2024-08-05,2024-08-29,3366.2,3365.7,497,-248.5,-0.0001485354405561523,24,time_stop
